Use,Lbound,Ubound,E[r],Sigma,Crisis Beta,Corr,HF,BHMC,Equity,RE,VC,Art,Bitcoin,Cash,,Det,,,
1,0%,100%,10%,12.00%,-0.6,HF,1,0.7,-0.5,-0.3,-0.2,-0.2,0,0,, 1.00 ,1,,
1,40%,60%,6%,30.00%,0.5,BHMC,0.7,1,-0.2,-0.1,-0.1,-0.2,0.2,0,, 0.51 ,2,,
1,0%,100%,6%,18.00%,1.0,Equity,-0.5,-0.2,1,0.7,0.8,0.6,0.3,0,, 0.36 ,3,,
1,0%,100%,6%,22.00%,1.0,RE,-0.3,-0.1,0.7,1,0.5,0.5,0.2,0,, 0.18 ,4,,
1,0%,100%,10%,40.00%,1.2,VC,-0.2,-0.1,0.8,0.5,1,0.5,0.5,0,, 0.05 ,5,,
1,0%,100%,5%,30.00%,0.75,Art,-0.2,-0.2,0.6,0.5,0.5,1,0.4,0,, 0.03 ,6,,
1,0%,100%,20%,80.00%,0.5,Bitcoin,0,0.2,0.3,0.2,0.5,0.4,1,0,, 0.01 ,7,,
1,0%,100%,0%,0.00%,0.0,Cash,0,0,0,0,0,0,0,1,, 0.01 ,8,,
***,,,,,,,,,,,,,,,,,,,
***,,,E[Jump],Sigma,Prob,JumpCorr,HF,BHMC,Equity,RE,VC,Art,Bitcoin,Cash,,Det,,,
,,,-25%,15.00%,5.00%,HF,1,0.9,0,0,0,0,0,0,, 1.00 ,1,,
,,,-80%,50.00%,5.00%,BHMC,0.9,1,0,0,0,0,0,0,, 0.19 ,2,,
,,,0%,0.00%,0.00%,Equity,0,0,1,0,0,0,0,0,, 0.19 ,3,,
,,,0%,0.00%,0.00%,RE,0,0,0,1,0,0,0,0,, 0.19 ,4,,
,,,0%,0.00%,0.00%,VC,0,0,0,0,1,0,0,0,, 0.19 ,5,,
,,,0%,0.00%,0.00%,Art,0,0,0,0,0,1,0,0,, 0.19 ,6,,
,,,0%,0.00%,0.00%,Bitcoin,0,0,0,0,0,0,1,0,, 0.19 ,7,,
,,,0%,0.00%,0.00%,Cash,0,0,0,0,0,0,0,1,, 0.19 ,8,,
*****,,,,,,,,,,,,,,,,,,,
