Use,Lbound,Ubound,E[r],Sigma,Crisis Beta,Corr,HF,BHMC_AM,BHMC_xAM,Equity,RE_Resi,RE_NonResi,BAC,Art,Bitcoin,Digital VC,Cash,,Det,,,
0,0.0%,100.0%,10.0%,10.00%,0.0,HF,1,0.5,0,0,0,0,0,0,0,0,0,, 1.000 ,1,,
0,0.0%,100.0%,10.0%,25.00%,0.0,BHMC_AM,0.5,1,0,0,0,0,0,0,0,0,0,, 0.750 ,2,,
0,0.0%,100.0%,10.0%,30.00%,0.0,BHMC_xAM,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,, 0.750 ,3,,
1,0.0%,100.0%,5.0%,15.00%,0.0,Equity,0,0,0.5,1,0.5,0.5,0.6,0.5,0.5,0.5,0,, 0.563 ,4,,
1,10.0%,10.0%,1.0%,10.00%,0.0,RE_Resi,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,, 0.375 ,5,,
0,0.0%,100.0%,15.0%,25.00%,0.0,RE_NonResi,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,, 0.234 ,6,,
1,50.0%,50.0%,6.2%,30.00%,0.0,BAC,0,0,0.5,0.6,0.5,0.5,1,0.5,0.5,0.5,0,, 0.128 ,7,,
0,0.0%,100.0%,5.0%,20.00%,0.00,Art,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,, 0.075 ,8,,
0,0.0%,100.0%,25.0%,60.00%,0.0,Bitcoin,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.75,0,, 0.043 ,9,,
0,0.0%,100.0%,20.0%,35.00%,0.0,Digital VC,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,0,, 0.017 ,10,,
1,0.0%,100.0%,-1.0%,0.00%,0.0,Cash,0,0,0,0,0,0,0,0,0,0,1,, 0.017 ,11,,
***,,,,,,,,,,,,,,,,,,,,,,
***,,,E[Jump],Sigma,Prob,JumpCorr,HF,BHMC_AM,BHMC_xAM,Equity,RE_Resi,RE_NonResi,BAC,Art,Bitcoin,Digital VC,Cash,,Det,,,
,,,0%,35.00%,0.00%,HF,1,0.95,0.5,0,0,0,0,0,0,0,0,, 1.00 ,1,,
,,,0%,50.00%,0.00%,BHMC_AM,0.95,1,0.5,0,0,0,0,0,0,0,0,, 0.10 ,2,,
,,,0%,5.00%,0.00%,BHMC_xAM,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,, 0.07 ,3,,
,,,0%,5.00%,0.00%,Equity,0,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,, 0.05 ,4,,
,,,0%,0.00%,0.00%,RE_Resi,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,, 0.03 ,5,,
,,,0%,5.00%,0.00%,RE_NonResi,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,, 0.02 ,6,,
,,,0%,5.00%,0.00%,VC,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,, 0.01 ,7,,
,,,0%,5.00%,0.00%,Art,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,, 0.01 ,8,,
,,,0%,1.00%,0.00%,Bitcoin,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.75,0,, 0.00 ,9,,
,,,0%,1.00%,0.00%,Digital VC,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,0,, 0.00 ,10,,
,,,0%,0.00%,0.00%,Cash,0,0,0,0,0,0,0,0,0,0,1,, 0.00 ,11,,
*****,,,,,,,,,,,,,,,,,,,,,,
,,,Equity Beta,E[r] (G),E[r] (A),,,,,,,,,,,,,,,,,
,,, -   ,9.50%,10.00%,HF,,,,,,,,,,,,,,,,
,,, -   ,6.88%,10.00%,BHMC_AM,,,,,,,,,,,,,,,,
,,, 1.00 ,5.50%,10.00%,BHMC_xAM,,,,,,,,,,,,,,,,
,,, 1.00 ,3.88%,5.00%,Equity,,,,,,,,,,,,,,,,
,,, 0.33 ,0.50%,1.00%,RE_Resi,,,,,,,,,,,,,,,,
,,, 0.83 ,11.88%,15.00%,RE_NonResi,,,,,,,,,,,,,,,,
,,, 1.20 ,1.70%,6.20%,BAC,,,,,,,,,,,,,,,,
,,, 0.67 ,3.00%,5.00%,Art,,,,,,,,,,,,,,,,
,,, 2.00 ,7.00%,25.00%,Bitcoin,,,,,,,,,,,,,,,,
,,, 1.17 ,13.88%,20.00%,Digital VC,,,,,,,,,,,,,,,,
,,, -   ,-1.00%,-1.00%,Cash,,,,,,,,,,,,,,,,
