Use,Lbound,Ubound,E[r],Sigma,Crisis Beta,Corr,SAM,NYDIG,Longtail,Equity,RE_Resi,SR Other,SR Bal Sheet,Art,Bitcoin,Raga VC,Cash,,Det,
1,0.00%,100.00%,11.50%,40.00%,1,SAM,1,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0,,1,1
1,0.00%,100.00%,20.00%,80.00%,1,NYDIG,0.75,1,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0,,0.75,2
1,0.00%,100.00%,12.00%,50.00%,1,Longtail,0.75,0.75,1,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0,,0.75,3
1,0.00%,100.00%,8.00%,18.00%,1,Equity,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,,0.563,4
1,0.00%,100.00%,3.50%,7.00%,0.5,RE_Resi,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,,0.375,5
1,0.00%,100.00%,11.50%,40.00%,1,SR Other,0.75,0.75,0.75,0.5,0.5,1,0.5,0.5,0.5,0.5,0,,0.234,6
1,0.00%,100.00%,9.00%,40.00%,0.4,SR Bal Sheet,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,,0.141,7
1,0.00%,100.00%,6.00%,20.00%,0.5,Art,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,,0.082,8
1,0.00%,100.00%,9.00%,40.00%,0.4,Bitcoin,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0,,0.047,9
1,0.00%,100.00%,7.00%,35.00%,0.7,Raga VC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,,0.018,10
1,0.00%,100.00%,1.50%,0.00%,0,Cash,0,0,0,0,0,0,0,0,0,0,1,,0.018,11
***,,,,,,,,,,,,,,,,,,,,
***,,,E[Jump],Sigma,Prob,JumpCorr,SAM,NYDIG,Longtail,Equity,RE_Resi,SR Other,SR Bal Sheet,Art,Bitcoin,Raga VC,Cash,,Det,
,,,-99%,5.00%,1.00%,SAM,1,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0,,1,1
,,,-99%,5.00%,1.00%,NYDIG,0.75,1,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0,,0.1,2
,,,-99%,5.00%,1.00%,Longtail,0.75,0.75,1,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0,,0.07,3
,,,-90%,5.00%,0.10%,Equity,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,,0.05,4
,,,0%,0.00%,0.00%,RE_Resi,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,,0.03,5
,,,-99%,10.00%,1.00%,SR Other,0.75,0.75,0.75,0.5,0.5,1,0.5,0.5,0.5,0.5,0,,0.02,6
,,,-99%,1.00%,5.00%,SR Bal Sheet,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,,0.01,7
,,,-50%,5.00%,1.00%,Art,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,,0.01,8
,,,-99%,1.00%,5.00%,Bitcoin,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0,,0,9
,,,-80%,1.00%,5.00%,Raga VC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,,0,10
,,,0%,0.00%,0.00%,Cash,0,0,0,0,0,0,0,0,0,0,1,,0,11
*****,,,,,,,,,,,,,,,,,,,,
,,,Equity Beta,E[r] (G),E[r] (A),,,,,,,,,,,,,,,
,,,1.3,8.45%,6.49%,SAM,,6.56%,,,,,,,,,,,,
,,,2,3.25%,8.99%,NYDIG,,9.28%,,,,,,,,,,,,
,,,1.3,0.78%,5.49%,Longtail,,6.56%,,,,,,,,,,,,
,,,1,3.59%,5.39%,Equity,,5.39%,,,,,,,,,,,,
,,,0.19,1.23%,2.45%,RE_Resi,,2.24%,,,,,,,,,,,,
,,,1.3,7.23%,6.49%,SR Other,,6.56%,,,,,,,,,,,,
,,,1.5,5.10%,7.95%,SR Bal Sheet,,7.34%,,,,,,,,,,,,
,,,0.56,1.00%,3.50%,Art,,3.68%,,,,,,,,,,,,
,,,1.67,-1.55%,7.95%,Bitcoin,,8.00%,,,,,,,,,,,,
,,,0.97,6.20%,5.75%,Raga VC,,5.27%,,,,,,,,,,,,
,,, -   ,0.00%,1.50%,Cash,,1.50%,,,,,,,,,,,,
