age,male,female
1,0.003,0.0024
2,0.0022,0.0018
3,0.0015,0.0012
4,0.0008,0.0006
5,0,0
6,0.0001,0
7,0.0001,0.0001
8,0.0001,0.0001
9,0.0002,0.0001
10,0.0002,0.0002
11,0.0002,0.0002
12,0.0002,0.0002
13,0.0002,0.0002
14,0.0002,0.0002
15,0.0002,0.0002
16,0.0004,0.0002
17,0.0005,0.0003
18,0.0007,0.0003
19,0.0009,0.0003
20,0.001,0.0004
21,0.0011,0.0004
22,0.0013,0.0004
23,0.0014,0.0005
24,0.0015,0.0005
25,0.0016,0.0005
26,0.0016,0.0006
27,0.0017,0.0006
28,0.0017,0.0007
29,0.0017,0.0008
30,0.0018,0.0008
31,0.0018,0.0009
32,0.0019,0.0009
33,0.002,0.0009
34,0.0021,0.001
35,0.0021,0.001
36,0.0022,0.0011
37,0.0023,0.0011
38,0.0023,0.0012
39,0.0024,0.0013
40,0.0025,0.0013
41,0.0025,0.0014
42,0.0026,0.0015
43,0.0027,0.0016
44,0.0028,0.0017
45,0.0029,0.0018
46,0.0033,0.002
47,0.0036,0.0022
48,0.004,0.0024
49,0.0044,0.0026
50,0.0048,0.0028
51,0.0051,0.0031
52,0.0055,0.0034
53,0.0058,0.0038
54,0.0061,0.0041
55,0.0065,0.0044
56,0.0074,0.0048
57,0.0083,0.0052
58,0.0092,0.0056
59,0.0102,0.006
60,0.0111,0.0065
61,0.0119,0.007
62,0.0127,0.0075
63,0.0135,0.008
64,0.0143,0.0085
65,0.0151,0.009
66,0.0162,0.0099
67,0.0173,0.0108
68,0.0185,0.0117
69,0.0196,0.0125
70,0.0207,0.0134
71,0.0228,0.0151
72,0.0249,0.0168
73,0.0271,0.0185
74,0.0292,0.0202
75,0.0313,0.0218
76,0.0354,0.0248
77,0.0395,0.0278
78,0.0436,0.0308
79,0.0477,0.0338
80,0.0518,0.0368
81,0.0589,0.0426
82,0.0661,0.0484
83,0.0732,0.0542
84,0.0803,0.06
85,0.0874,0.0658
86,0.1009,0.0764
87,0.1145,0.0871
88,0.128,0.0977
89,0.1415,0.1084
90,0.1551,0.119
91,0.1783,0.1388
92,0.2016,0.1586
93,0.2249,0.1784
94,0.2482,0.1983
95,0.2715,0.2181
96,0.3032,0.247
97,0.3349,0.2759
98,0.3666,0.3049
99,0.3982,0.3338
100,0.4299,0.3627
101,0.4299,0.3627
102,0.4299,0.3627
103,0.4299,0.3627
104,0.4299,0.3627
105,0.4299,0.3627
106,0.4299,0.3627
107,0.4299,0.3627
108,0.4299,0.3627
109,0.4299,0.3627
110,0.4299,0.3627
111,0.4299,0.3627
112,0.4299,0.3627
113,0.4299,0.3627
114,0.4299,0.3627
115,0.4299,0.3627
116,0.4299,0.3627
117,0.4299,0.3627
118,0.4299,0.3627
119,0.4299,0.3627
120,0.4299,0.3627
121,0.4299,0.3627
122,0.4299,0.3627
123,0.4299,0.3627
124,0.4299,0.3627
125,0.4299,0.3627
126,0.4299,0.3627
127,0.4299,0.3627
128,0.4299,0.3627
129,0.4299,0.3627
130,0.4299,0.3627
131,0.4299,0.3627
132,0.4299,0.3627
133,0.4299,0.3627
134,0.4299,0.3627
135,0.4299,0.3627
136,0.4299,0.3627
137,0.4299,0.3627
138,0.4299,0.3627
139,0.4299,0.3627
140,0.4299,0.3627
141,0.4299,0.3627
142,0.4299,0.3627
143,0.4299,0.3627
144,0.4299,0.3627
145,0.4299,0.3627
146,0.4299,0.3627
147,0.4299,0.3627
148,0.4299,0.3627
149,0.4299,0.3627
150,0.4299,0.3627
